Territórios,year_2017
espinho,103.0
gondomar,84.1
maia,110.7
matosinhos,123.0
oliveira de azeméis,83.1
paredes,79.8
porto,157.8
póvoa de varzim,95.5
santa maria da feira,84.8
santo tirso,85.8
são joão da madeira,135.4
trofa,92.7
vale de cambra,86.9
valongo,91.7
vila do conde,96.2
vila nova de gaia,100.1
alcochete,118.8
almada,108.7
amadora,100.6
barreiro,100.0
cascais,122.1
lisboa,219.6
loures,92.3
mafra,96.3
moita,82.0
montijo,99.2
odivelas,89.3
oeiras,156.5
palmela,98.1
sesimbra,90.0
setúbal,107.5
sintra,94.1
